X_12,Y_12,C_12,X_13,Y_13,C_13,X_14,Y_14,C_14
1121.89,394.896,0.140032,1539.85,542.05,0.439976,1583.96,977.63,0.250171
1113.05,391.928,0.160955,1539.85,547.857,0.380413,1522.16,998.214,0.248873
1107.17,389.012,0.177184,1539.87,547.944,0.545392,1492.77,968.841,0.193842
1113.02,389.012,0.179994,1539.87,547.951,0.508261,1489.75,965.886,0.153217
1113.02,389.001,0.215567,1539.83,547.934,0.54378,1492.81,974.734,0.178933
1113.06,389.005,0.217392,1542.68,547.884,0.499757,1519.12,989.452,0.168608
1115.98,391.931,0.178506,1539.84,542.085,0.446111,1589.87,992.386,0.157674
1110.11,389.06,0.176184,1533.94,539.158,0.351952,1613.36,980.619,0.155285
1113.06,389.038,0.171182,1536.84,542.057,0.453122,1625.14,968.832,0.216579
1110.1,391.936,0.164791,1519.18,536.155,0.276377,1637.07,971.772,0.217255
1110.09,388.999,0.168317,1510.39,533.245,0.298514,1654.63,957.093,0.38706
1107.18,388.972,0.172324,1522.18,533.291,0.364049,1663.41,960.018,0.24363
1107.17,389.015,0.171045,1525.11,533.217,0.361194,1672.28,954.085,0.172563
1107.18,389.016,0.164727,1528.02,533.267,0.367395,1669.34,951.168,0.212386
1101.26,388.983,0.147982,1536.87,533.29,0.419657,1669.31,968.809,0.303076
1116,389.021,0.160667,1536.91,536.209,0.3574,1642.84,980.624,0.124427
1110.12,391.942,0.161608,1522.17,536.236,0.321368,1630.99,968.833,0.205788
1110.1,391.938,0.156529,1545.68,547.861,0.525982,1584,980.611,0.237283
1107.17,391.931,0.167574,1539.76,547.869,0.403651,1533.95,995.32,0.179073
1110.11,391.929,0.174655,1539.8,550.767,0.446257,1525.06,995.268,0.194095
1118.92,391.959,0.168871,1539.85,547.97,0.468626,1519.3,995.345,0.207494
1115.98,389.021,0.168562,1539.81,547.903,0.46524,1519.21,998.223,0.204944
1113.02,389.068,0.165925,1539.89,547.979,0.448497,1519.26,1001.14,0.247078
1113.05,391.938,0.155832,1539.85,547.936,0.40623,1522.17,989.426,0.183357
1110.08,388.986,0.17114,1539.72,547.978,0.4005,1542.78,992.361,0.164599
1104.23,386.108,0.157505,1539.82,547.954,0.42031,1548.65,989.412,0.148878
1113.05,388.975,0.161563,1542.68,545.025,0.458563,1563.41,977.627,0.149147
1116,388.994,0.165437,1539.9,544.934,0.41,1569.32,977.705,0.131574
1115.98,389.049,0.158804,1539.9,545.008,0.453201,1589.96,989.472,0.211534
1110.1,388.991,0.172374,1536.81,545.016,0.416978,1610.47,977.657,0.256295
1107.16,388.975,0.164994,1531,539.098,0.356074,1619.31,974.723,0.228885
1118.97,389.012,0.171983,1539.85,545.021,0.505536,1637.03,977.675,0.183489
1113.02,389.018,0.178603,1519.2,536.212,0.336344,1625.16,968.844,0.255256
1107.16,388.973,0.193259,1536.87,542.021,0.44768,1616.39,977.706,0.226728
1107.15,388.961,0.183445,1542.74,545.03,0.491578,1610.49,977.662,0.336444
1116,389.01,0.167603,1542.76,545.045,0.431868,1581.04,983.528,0.239461
1116,389.039,0.157928,1542.72,547.974,0.508667,1569.26,980.597,0.219988
1118.95,389.061,0.169629,1542.69,547.872,0.494284,1563.4,977.686,0.184951
1121.86,389.075,0.156522,1542.72,545.038,0.410514,1557.48,977.717,0.175074
1118.97,389.028,0.177434,1539.9,545.024,0.460405,1545.81,977.702,0.202166
1116.01,388.967,0.18869,1539.85,550.758,0.43791,1545.75,983.528,0.226191
1115.99,388.96,0.186818,1542.75,550.875,0.549509,1542.88,980.607,0.26367
1118.97,389.044,0.177074,1539.87,547.932,0.464592,1542.87,980.629,0.256195
1118.91,389.039,0.186428,1539.89,547.846,0.418137,1545.68,980.622,0.248537
1121.88,391.935,0.184967,1539.87,544.985,0.432942,1545.75,980.61,0.306515
1113.04,388.994,0.191925,1354.41,480.301,0.165065,1519.16,556.789,0.0850454
1113.07,389.009,0.183146,1539.9,544.936,0.42702,1563.27,977.699,0.292929
1113.06,391.954,0.159348,1545.66,547.902,0.473254,1575.13,989.424,0.200978
1118.94,391.937,0.173176,1542.76,547.842,0.43403,1586.85,983.559,0.205693
1113.04,391.926,0.163183,1542.79,542.082,0.373786,1592.78,998.299,0.21006
1110.12,389.026,0.156717,1539.89,547.886,0.518597,1601.64,980.604,0.28762
1124.84,391.959,0.170348,1539.87,545.041,0.558819,1610.38,986.488,0.335323
1121.89,391.966,0.155392,1539.86,544.955,0.468642,1613.45,983.549,0.291917
1118.95,391.972,0.155559,1539.86,542.088,0.449342,1613.5,983.548,0.286654
1121.89,391.993,0.152677,1539.83,542.071,0.426622,1616.3,980.663,0.294985
1124.83,394.868,0.148752,1539.87,544.938,0.471559,1616.33,983.567,0.310278
1124.83,391.976,0.180451,1539.85,542.079,0.496395,1613.37,980.572,0.36239
1124.8,391.931,0.162815,1542.74,545.005,0.537589,1607.48,983.537,0.313569
1127.76,394.928,0.145682,1542.72,544.938,0.479156,1604.55,998.214,0.156637
1127.76,394.908,0.179121,1536.82,536.231,0.409701,1566.33,907.05,0.0640465
1127.76,394.938,0.183574,1539.81,539.135,0.376397,1592.75,998.24,0.173441
1121.87,394.914,0.175908,1542.77,547.889,0.461876,1586.81,983.537,0.310543
1130.7,394.884,0.178272,1542.87,547.943,0.549759,1581.01,980.631,0.226921
1127.78,394.884,0.158905,1542.86,547.868,0.503109,1575.16,980.6,0.211875
